,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,0.0,1695553477866,0.086364746,-0.9682617,0.04168701,3.71875,11.984375,-6.40625,0
1,1.0,1695553477906,0.0036010742,-1.1071777,0.13250732,7.09375,12.96875,-10.21875,1
2,2.0,1695553477946,0.098083496,-1.0241699,0.13690186,-2.265625,2.578125,-8.078125,2
3,3.0,1695553477986,0.19671631,-0.9008789,0.1630249,-0.890625,-1.359375,-4.296875,3
4,4.0,1695553478026,0.14910889,-0.8041992,0.11004639,0.171875,3.53125,-4.359375,4
5,5.0,1695553478066,0.1461792,-0.7609863,0.17694092,-0.015625,-1.921875,-6.109375,5
6,6.0,1695553478106,0.17572021,-0.77734375,0.13739014,-4.328125,-9.5,-6.671875,6
7,7.0,1695553478146,0.28656006,-0.8696289,0.19207764,-5.25,-6.671875,-4.984375,7
8,8.0,1695553478186,0.2345581,-0.9909668,0.1930542,0.03125,2.46875,-6.046875,8
9,9.0,1695553478226,0.24066162,-1.1210938,0.13348389,-3.125,2.28125,-0.9375,9
10,10.0,1695553478266,0.37591553,-1.189209,0.22698975,-12.890625,10.484375,-1.65625,10
11,11.0,1695553478306,0.31976318,-1.2197266,0.32757568,-11.953125,16.1875,-4.734375,11
12,12.0,1695553478346,0.051940918,-1.3339844,0.26800537,-11.984375,6.890625,-7.453125,12
13,13.0,1695553478386,-0.06695557,-1.2312012,0.16448975,-4.375,4.703125,-5.234375,13
14,14.0,1695553478426,-0.13140869,-0.97143555,0.17474365,10.546875,5.578125,1.328125,14
15,15.0,1695553478466,-0.046447754,-0.91186523,0.22796631,18.4375,5.765625,4.828125,15
16,16.0,1695553478506,0.051452637,-1.0410156,0.22015381,18.78125,3.484375,2.015625,16
17,17.0,1695553478546,0.11590576,-1.0280762,0.15838623,14.734375,-5.796875,-1.59375,17
18,18.0,1695553478586,0.17596436,-0.8544922,0.12786865,17.0,-12.375,7.4375,18
19,19.0,1695553478626,0.18621826,-0.77563477,0.117126465,20.109375,-13.21875,10.171875,19
20,20.0,1695553478666,0.09954834,-0.8210449,0.18572998,9.5,-5.359375,10.390625,20
