,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
0,0,1695833587394,-0.22338867,-0.05206299,-0.9768677,-0.390625,-1.203125,-0.0625,0,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
1,1,1695833587434,-0.22314453,-0.045715332,-0.98394775,-0.328125,-0.984375,-0.0625,1,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
2,2,1695833587474,-0.22851562,-0.044006348,-0.98931885,-0.640625,-0.578125,-0.0625,2,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
3,3,1695833587514,-0.22753906,-0.054260254,-0.9824829,-0.46875,-0.28125,-0.125,3,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
4,4,1695833587554,-0.22485352,-0.04547119,-0.9829712,-0.234375,-1.234375,-0.015625,4,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
5,5,1695833587594,-0.2277832,-0.042053223,-0.97540283,-0.53125,-0.390625,0.0,5,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
6,6,1695833587634,-0.2241211,-0.04449463,-0.9849243,-0.265625,-0.890625,-0.125,6,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
7,7,1695833587674,-0.2199707,-0.040100098,-0.98565674,-0.21875,-0.640625,-0.265625,7,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
8,8,1695833587714,-0.22387695,-0.041809082,-0.98223877,-0.390625,-0.65625,-0.265625,8,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
9,9,1695833587754,-0.22070312,-0.04840088,-0.9817505,-0.484375,-0.3125,-0.28125,9,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
10,10,1695833587794,-0.21728516,-0.04058838,-0.9793091,-0.65625,0.03125,-0.265625,10,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
11,11,1695833587834,-0.22070312,-0.034484863,-0.9807739,-0.515625,-0.40625,-0.0625,11,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
12,12,1695833587874,-0.22387695,-0.042297363,-0.9807739,-0.34375,-0.859375,-0.03125,12,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
13,13,1695833587914,-0.2253418,-0.043273926,-0.9819946,-0.15625,-1.046875,0.09375,13,,,-1,,,Respeck_s2090495_Lying down on left_Talking_trimmed_27-09-2023_17-53-48
