,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
0,0,1695829792903,-0.19018555,-0.18096924,-0.9741821,-0.515625,-0.265625,0.015625,0,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
1,1,1695829792943,-0.18798828,-0.17681885,-0.973938,-0.546875,-0.53125,-0.28125,1,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
2,2,1695829792983,-0.18237305,-0.17681885,-0.96466064,-0.296875,-0.34375,-0.1875,2,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
3,3,1695829793023,-0.18579102,-0.16973877,-0.97052,-0.421875,-0.34375,-0.09375,3,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
4,4,1695829793063,-0.1862793,-0.18170166,-0.9714966,-0.15625,-0.53125,-0.015625,4,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
5,5,1695829793103,-0.18457031,-0.17852783,-0.97540283,-0.125,-0.546875,-0.09375,5,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
6,6,1695829793143,-0.19091797,-0.17779541,-0.97662354,-0.4375,-0.4375,-0.078125,6,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
7,7,1695829793183,-0.1875,-0.17828369,-0.9702759,-0.3125,-0.546875,-0.078125,7,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
8,8,1695829793223,-0.18725586,-0.17486572,-0.9734497,-0.375,-0.65625,-0.046875,8,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
9,9,1695829793263,-0.18847656,-0.17633057,-0.96881104,-0.421875,-0.421875,-0.25,9,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
10,10,1695829793303,-0.18847656,-0.17120361,-0.97491455,-0.578125,-0.40625,-0.078125,10,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
11,11,1695829793343,-0.18798828,-0.17242432,-0.97735596,-0.578125,-0.515625,-0.046875,11,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
12,12,1695829793383,-0.18847656,-0.18121338,-0.97491455,-0.375,-0.609375,-0.234375,12,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
13,13,1695829793423,-0.18530273,-0.17779541,-0.96832275,-0.34375,-0.5,-0.234375,13,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
14,14,1695829793463,-0.19067383,-0.18048096,-0.9741821,-0.484375,-0.671875,-0.25,14,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
15,15,1695829793503,-0.18115234,-0.17633057,-0.9710083,-0.484375,-0.40625,-0.265625,15,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
16,16,1695829793543,-0.18334961,-0.17828369,-0.9710083,-0.40625,-0.5,-0.078125,16,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
17,17,1695829793583,-0.18603516,-0.17584229,-0.97320557,-0.4375,-0.359375,-0.109375,17,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
18,18,1695829793623,-0.18457031,-0.17779541,-0.9729614,-0.484375,-0.484375,-0.140625,18,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
19,19,1695829793663,-0.18383789,-0.1741333,-0.96954346,-0.1875,-0.390625,-0.296875,19,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
20,20,1695829793703,-0.1850586,-0.18023682,-0.9741821,-0.375,-0.5,-0.0625,20,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
21,21,1695829793743,-0.18237305,-0.17974854,-0.97491455,-0.359375,-0.484375,-0.078125,21,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
22,22,1695829793783,-0.18774414,-0.17755127,-0.9697876,-0.421875,-0.390625,-0.046875,22,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
23,23,1695829793823,-0.18603516,-0.17926025,-0.97247314,-0.546875,-0.578125,-0.203125,23,,,-1,,,Respeck_s2090495_Lying down on left_Normal_trimmed_27-09-2023_16-50-33
