,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
0,0,1695833463211,-0.6672363,0.045837402,0.75115967,0.359375,-0.421875,0.0,0,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
1,1,1695833463251,-0.6689453,0.039733887,0.7601929,-0.25,-0.65625,0.078125,1,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
2,2,1695833463291,-0.66796875,0.026550293,0.7550659,-0.796875,-0.703125,-0.078125,2,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
3,3,1695833463331,-0.66748047,0.047790527,0.7506714,-1.171875,-0.234375,-0.46875,3,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
4,4,1695833463371,-0.6765137,0.050964355,0.7526245,-0.3125,-0.140625,0.3125,4,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
5,5,1695833463411,-0.66918945,0.04852295,0.75286865,-0.09375,-0.0625,0.671875,5,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
6,6,1695833463451,-0.6647949,0.04071045,0.7526245,-0.59375,-0.40625,-0.03125,6,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
7,7,1695833463491,-0.6665039,0.039489746,0.75042725,-0.1875,-0.546875,-0.171875,7,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
8,8,1695833463531,-0.6687012,0.046325684,0.7626343,-0.21875,-0.59375,-0.0625,8,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
9,9,1695833463571,-0.6657715,0.04144287,0.7597046,-0.109375,-0.5625,0.359375,9,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
10,10,1695833463611,-0.66503906,0.03753662,0.7523804,-0.421875,-0.5,0.140625,10,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
11,11,1695833463651,-0.67211914,0.036071777,0.75579834,-0.140625,-0.890625,-0.3125,11,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
12,12,1695833463691,-0.6677246,0.042419434,0.7572632,-0.5,-0.34375,-0.203125,12,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
13,13,1695833463731,-0.66918945,0.043884277,0.75335693,-0.53125,-0.46875,0.015625,13,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
14,14,1695833463771,-0.67285156,0.04534912,0.7526245,-0.515625,-0.484375,0.015625,14,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
15,15,1695833463811,-0.6713867,0.034362793,0.7514038,-0.625,-0.546875,-0.21875,15,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
16,16,1695833463851,-0.67333984,0.04559326,0.7616577,-0.265625,-0.75,0.0,16,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
17,17,1695833463891,-0.67285156,0.038757324,0.7496948,-0.359375,-0.359375,-0.015625,17,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
18,18,1695833463931,-0.66967773,0.04559326,0.75823975,-0.78125,-0.46875,-0.125,18,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
19,19,1695833463971,-0.671875,0.046081543,0.7470093,0.140625,-0.296875,0.09375,19,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
20,20,1695833464011,-0.6711426,0.04925537,0.7531128,-0.671875,-0.53125,-0.046875,20,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
21,21,1695833464051,-0.6677246,0.029968262,0.7609253,-0.15625,-0.703125,0.25,21,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
22,22,1695833464091,-0.66845703,0.03704834,0.75653076,-0.28125,-0.234375,-0.109375,22,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
23,23,1695833464131,-0.6713867,0.039978027,0.75286865,-0.25,-0.359375,-0.203125,23,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
24,24,1695833464171,-0.6726074,0.042419434,0.75579834,-0.46875,-0.421875,0.09375,24,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
25,25,1695833464211,-0.66918945,0.043640137,0.7538452,-0.6875,-0.59375,0.046875,25,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
26,26,1695833464251,-0.6682129,0.034362793,0.75579834,-0.46875,-0.484375,0.03125,26,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
27,27,1695833464291,-0.6713867,0.047546387,0.7567749,-0.90625,-0.390625,-0.375,27,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
28,28,1695833464331,-0.6730957,0.04095459,0.7536011,-0.03125,-0.703125,0.125,28,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
29,29,1695833464371,-0.6672363,0.03753662,0.75457764,-0.515625,-0.296875,-0.265625,29,,,-1,,,Respeck_s2090495_Lying down back_Singing_trimmed_27-09-2023_17-10-46
